name
“华为杯”计算机产品创意设计大赛
西南科技大学信息安全大赛
四川省ACM程序设计大赛
中国高校计算机大赛团体程序设计天梯赛
第三届“创青春”全国大学生创业大赛
大学生挑战杯
西南科技大学大学生创新基金项目
“创新实践班”
“国家级卓越软件工程师班”
“虚拟现实实验室”
全国大学生英语竞赛
四川省大众跆拳道锦标赛
四川省大众跆拳道锦标赛
中国高校计算机大赛团体程序设计天梯赛华南赛区-成都赛点
第二届全国密码技术竞赛
第十届全国大学生信息安全竞赛
2017百度之星开发者大赛
中国高校计算机大赛2017网络技术挑战赛全国赛区赛
中国软件杯
ChinaVIS
2017“全国大学生软件测试大赛”
中国高校计算机天梯赛
中国高校计算机大赛-团体程序设计天梯赛
四川省程序设计大赛
CCSP竞赛
ICPC西安邀请赛
第八届蓝桥杯全国软件和信息技术专业人才大赛全国总决赛一等奖 
“蓝桥杯”全国软件人才设计与创业大赛省级一等奖 
ACM/ICPC国际大学生程序设计竞赛银奖 
蓝桥杯全国软件和信息技术专业人才大赛 
蓝桥杯全国软件和信息技术专业人才大赛省赛 
第九届四川省ACM大学生程序设计竞赛银牌 
第八届蓝桥杯全国软件和信息技术专业人才大赛省赛一等奖 
第八届蓝桥杯全国软件和信息技术专业人才大赛全国决赛二等奖 
2017ACM-ICPC全国邀请赛（陕西） 
The ACM-ICPC Asia Regional Contest China-Final2016 
2017 ACM/ICPC亚洲区预赛（青岛） 
2017ACM/icpc亚洲区域赛青岛站 
蓝桥杯国赛 
2017年第八届蓝桥杯全国软件和信息技术专业人才大赛二等奖 
C/C++程序设计大赛 
蓝桥杯全国软件和信息技术专业人才大赛全国总决赛C/C++程序设计大学B组三等奖 
蓝桥杯全国软件和信息技术专业人才大赛四川赛区C/C++程序设计大学B组一等奖

